Species,Island_type,ecomorph,geo_ecomorph,Female_SVL,Male_SVL
A_dolichoc,Anolis_dolichocephalus,LargeIsland,GrassBush,2,52,51
A_equestri,Anolis_equestris,LargeIsland,CrownGiant,2,170,190
A_ernestwi,Anolis_ernestwilliamsi,SmallIsland,TrunkGround,0,60,82
A_etheridg,Anolis_etheridgei,LargeIsland,Unique,2,43,43
A_eugenegr,Anolis_eugenegrahami,LargeIsland,Unique,2,61,72
A_evermann,Anolis_evermanni,LargeIsland,TrunkCrown,1,52.4,78
A_ferreus,Anolis_ferreus,SmallIsland,NA,0,65,119
A_fowleri,Anolis_fowleri,LargeIsland,Unique,2,75,77
A_fuscoaur,Anolis_fuscoauratus,Mainland,NA,3,52,49
A_garmani,Anolis_garmani,LargeIsland,CrownGiant,2,95,132
A_garridoi,Anolis_garridoi,LargeIsland,Twig,2,36.8,41.8
A_gingivin,Anolis_gingivinus,SmallIsland,NA,0,55,72
A_grahami,Anolis_grahami,LargeIsland,TrunkCrown,1,64,75
A_guafe,Anolis_guafe,LargeIsland,TrunkGround,1,40,48.8
A_guamuhay,Anolis_guamuhaya,LargeIsland,Unique,2,162,NA
A_guazuma,Anolis_guazuma,LargeIsland,Twig,2,41,48.5
A_gundlach,Anolis_gundlachi,LargeIsland,TrunkGround,1,52,75
A_haetianu,Anolis_haetianus,LargeIsland,TrunkGround,1,60,75
A_henderso,Anolis_hendersoni,LargeIsland,GrassBush,2,42.6,49.3
A_homolech,Anolis_homolechis,LargeIsland,TrunkGround,1,55.8,70
A_humilis,Anolis_humilis,Mainland,NA,3,44,45
A_imias,Anolis_imias,LargeIsland,TrunkGround,1,46.5,67.4
A_inexpect,Anolis_inexpectatus,LargeIsland,GrassBush,2,35,37
A_insolitu,Anolis_insolitus,LargeIsland,Twig,2,44,47
A_intermed,Anolis_intermedius,Mainland,NA,3,54,54
A_isthmicu,Anolis_isthmicus,Mainland,NA,3,58,63
A_jubar,Anolis_jubar,LargeIsland,TrunkGround,1,53.2,62
A_krugi,Anolis_krugi,LargeIsland,GrassBush,2,39.3,55
A_laeviven,Anolis_laeviventris,Mainland,NA,3,65,61
A_leachi,Anolis_leachii,SmallIsland,NA,0,70,123
A_lemurinu,Anolis_lemurinus,Mainland,NA,3,79,79
A_limifron,Anolis_limifrons,Mainland,NA,3,51,51
A_lineatop,Anolis_lineatopus,LargeIsland,TrunkGround,1,51,73
A_lionotus,Anolis_lionotus,Mainland,NA,3,70,76
A_lividus,Anolis_lividus,SmallIsland,NA,0,55,70
A_longicep,Anolis_longiceps,SmallIsland,TrunkCrown,0,76,83
A_longitib,Anolis_longitibialis,LargeIsland,TrunkGround,1,59,72
A_loveridg,Anolis_loveridgei,Mainland,NA,3,NA,117.9
A_loysiana,Anolis_loysiana,LargeIsland,Trunk,2,38.2,47.2
A_lucius,Anolis_lucius,LargeIsland,Unique,2,60,70
A_luteogul,Anolis_luteogularis,LargeIsland,CrownGiant,2,176,191
A_macilent,Anolis_macilentus,LargeIsland,GrassBush,2,36,41
A_marcanoi,Anolis_marcanoi,LargeIsland,TrunkGround,1,49,65
A_marmorat,Anolis_marmoratus,SmallIsland,NA,0,57,82
A_marron,Anolis_marron,LargeIsland,Trunk,2,42,50
A_maynardi,Anolis_maynardi,SmallIsland,TrunkCrown,0,48,76
A_meridion,Anolis_meridionalis,Mainland,NA,3,46.5,48
A_mestrei,Anolis_mestrei,LargeIsland,TrunkGround,1,48.5,56.5
A_monensis,Anolis_monensis,SmallIsland,TrunkGround,0,46,59
A_monticol,Anolis_monticola,LargeIsland,Unique,2,42,56
A_nebuloid,Anolis_nebuloides,Mainland,NA,3,44,55.5
A_nitens,Anolis_nitens,Mainland,NA,3,85,83
A_noblei,Anolis_noblei,LargeIsland,CrownGiant,2,172.1,190
A_nubilus,Anolis_nubilis,SmallIsland,NA,0,52,81
A_occultus,Anolis_occultus,LargeIsland,Twig,2,39.2,40
A_oculatus,Anolis_oculatus,SmallIsland,NA,0,65,96
A_olssoni,Anolis_olssoni,LargeIsland,GrassBush,2,44,50
A_onca,Anolis_onca,Mainland,NA,3,67,75
A_opalinus,Anolis_opalinus,LargeIsland,TrunkCrown,1,46,56
A_ophiolep,Anolis_ophiolepis,LargeIsland,GrassBush,2,39.5,39.8
A_oporinus,Anolis_oporinus,LargeIsland,TrunkCrown,1,46.7,NA
A_ortonii,Anolis_ortonii,Mainland,NA,3,52,57
A_oscellos,Anolis_ocelloscapularis,Mainland,NA,3,46.5,42
A_oxylophu,Anolis_oxylophus,Mainland,NA,3,72,85
A_pachypus,Anolis_pachypus,Mainland,NA,3,50,50
A_pandoens,Anolis_pandoensis,Mainland,NA,3,60,53
A_paternus,Anolis_paternus,LargeIsland,Twig,2,47.8,50
A_placidus,Anolis_placidus,LargeIsland,Twig,2,46,45.3
A_poecilop,Anolis_poecilopus,Mainland,NA,3,68,74
A_pogus,Anolis_pogus,SmallIsland,NA,0,42,50
A_polylepi,Anolis_polylepis,Mainland,NA,3,53,57
A_polyrhac,Anolis_polyrhachis,Mainland,NA,3,50,NA
A_poncensi,Anolis_poncensis,LargeIsland,GrassBush,2,40,48
A_porcatus,Anolis_porcatus,LargeIsland,TrunkCrown,1,61.4,74.3
A_porcus,Anolis_porcus,LargeIsland,Unique,2,172,162
A_pulchell,Anolis_pulchellus,LargeIsland,GrassBush,2,37.5,51
A_pumilis,Anolis_pumilus,LargeIsland,Unique,2,39.2,34.2
A_purpurgu,Anolis_purpurgularis,Mainland,NA,3,58.1,59.3
A_quadrioc,Anolis_quadriocellifer,LargeIsland,TrunkGround,1,48.5,55
A_quercoru,Anolis_quercorum,Mainland,NA,3,41,46
A_recondit,Anolis_reconditus,LargeIsland,Unique,2,84,100
A_rejectus,Anolis_rejectus,LargeIsland,GrassBush,2,36.7,37
A_ricordii,Anolis_ricordi,LargeIsland,CrownGiant,2,151,160
A_rubribar,Anolis_rubribarbus,LargeIsland,TrunkGround,1,47.5,65.9
A_sabanus,Anolis_sabanus,SmallIsland,NA,0,51,69
A_sagrei,Anolis_sagrei,LargeIsland,TrunkGround,1,57,73
A_schwartz,Anolis_schwartzi,SmallIsland,NA,0,43,49
A_scriptus,Anolis_scriptus,SmallIsland,NA,0,64,76
A_semiline,Anolis_semilineatus,LargeIsland,GrassBush,2,43,47
A_sericeus,Anolis_sericeus,Mainland,NA,3,47,52
A_sheplani,Anolis_sheplani,LargeIsland,Twig,2,40,41
A_shrevei,Anolis_shrevei,LargeIsland,TrunkGround,1,50,60
A_singular,Anolis_singularis,LargeIsland,TrunkCrown,1,45,52
A_smallwoo,Anolis_smallwoodi,LargeIsland,CrownGiant,2,165,190
A_smaragdi,Anolis_smaragdinus,SmallIsland,TrunkCrown,0,51,64
A_sminthus,Anolis_sminthus,Mainland,NA,3,58,51
A_strahmi,Anolis_strahmi,LargeIsland,TrunkGround,1,64,79
A_stratulu,Anolis_stratulus,LargeIsland,TrunkCrown,1,46,50
A_trachyde,Anolis_trachyderma,Mainland,NA,3,58,61
A_tropidog,Anolis_tropidogaster,Mainland,NA,3,54,63
A_tropidon,Anolis_tropidonotus,Mainland,NA,3,55,56
A_uniformi,Anolis_uniformis,Mainland,NA,3,40.5,40.3
A_valencie,Anolis_valencienni,LargeIsland,Twig,2,74,86
A_vanidicu,Anolis_vanidicus,LargeIsland,GrassBush,2,37,39
A_vermicul,Anolis_vermiculatus,LargeIsland,Unique,2,84.9,124.5
A_wattsi,Anolis_wattsi,SmallIsland,NA,0,49,58
A_websteri,Anolis_websteri,LargeIsland,Trunk,2,47,51
A_whiteman,Anolis_whitemani,LargeIsland,TrunkGround,1,54,67
A_woodi,Anolis_woodi,Mainland,NA,3,86,95
A_zeus,Anolis_zeus,Mainland,NA,3,44,40
